idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
934483,8,7,Fair,,Once a month,160.0,57.0,Female,1940.0
938063,7,8,Very good,,Several times a week,180.0,80.0,Male,1944.0
921034,8,8,Good,,Every day,176.0,87.0,Male,1957.0
926034,7,Extremely happy,Very good,20.0,Once a week,173.0,72.0,Male,1956.0
937546,8,8,Good,,Several times a week,170.0,75.0,Male,1947.0
940042,8,8,Very good,,Several times a week,,108.0,Male,1954.0
939190,8,,Fair,,Once a week,168.0,56.0,Female,1934.0
931493,,6,Bad,20.0,Less than once a month,167.0,98.0,Male,1946.0
929197,9,Extremely happy,Good,10.0,Several times a week,182.0,90.0,Male,1962.0
936249,4,3,Bad,,Less than once a month,189.0,107.0,Male,1964.0
936825,7,Extremely happy,Very good,,Once a week,179.0,70.0,Male,1999.0
937376,7,9,Good,,Several times a week,178.0,78.0,Male,1945.0
933291,Most people can be trusted,Extremely happy,Good,,Never,161.0,53.0,Male,1953.0
939653,8,8,Good,,Several times a week,169.0,60.0,Female,1982.0
925193,,8,Fair,1.0,Once a week,189.0,75.0,Male,1996.0
936095,7,8,Very good,,2-3 times a month,188.0,66.0,Male,1978.0
921440,9,9,Good,,Once a week,178.0,76.0,Male,1975.0
930112,8,9,Very good,,Once a week,194.0,71.0,Male,1963.0
939441,9,9,Very good,20.0,Several times a week,,108.0,Male,1991.0
934556,6,8,Good,1.0,Once a month,167.0,63.0,Male,1990.0
923094,5,8,Fair,,2-3 times a month,165.0,58.0,Female,1986.0
926678,,,Very good,,Less than once a month,180.0,,Male,1941.0
938225,8,Extremely happy,Very good,,Once a month,168.0,55.0,Female,1999.0
921521,6,9,Good,,Several times a week,191.0,75.0,Male,1987.0
941640,8,9,Very good,,Once a week,187.0,84.0,Male,1958.0
929105,5,7,Very good,,2-3 times a month,158.0,68.0,Female,1981.0
942701,6,5,Fair,,2-3 times a month,174.0,106.0,Female,1974.0
943757,7,8,,,Less than once a month,174.0,103.0,Female,1971.0
949046,7,8,Good,,,183.0,75.0,Male,1981.0
924846,8,9,Very good,,Less than once a month,168.0,68.0,Female,1972.0
925232,5,9,Very good,,Once a month,168.0,,Male,1998.0
941030,8,8,Good,,Once a week,185.0,84.0,Male,1974.0
932180,8,7,Very good,,Once a month,187.0,70.0,Male,1989.0
923060,8,9,Good,,Several times a week,174.0,76.0,Male,1940.0
947662,9,8,Very good,,2-3 times a month,182.0,65.0,Male,1968.0
939174,8,8,Very good,,Never,180.0,78.0,Male,1978.0
935659,Most people can be trusted,9,Very good,,Never,165.0,80.0,Female,1979.0
944567,7,8,Good,,Several times a week,181.0,68.0,Male,1938.0
922404,8,Extremely happy,Very good,,Once a week,177.0,63.0,Male,1999.0
934661,,9,Very good,,Several times a week,183.0,83.0,Male,1985.0
946276,7,Extremely happy,Very good,,2-3 times a month,196.0,96.0,Male,
925567,6,Extremely happy,Fair,,2-3 times a month,152.0,76.0,Female,1937.0
941129,3,6,Fair,12.0,Several times a week,177.0,72.0,Male,1993.0
930170,7,Extremely happy,Very good,9.0,Less than once a month,195.0,120.0,Male,1982.0
949703,7,9,Very good,,Once a week,186.0,89.0,Male,1969.0
939116,7,7,Very good,12.0,Once a month,169.0,113.0,Female,1981.0
946129,7,8,Very good,,Once a month,160.0,75.0,Female,1981.0
945220,8,9,Good,,Once a week,170.0,75.0,Female,1952.0
928345,6,7,Good,7.0,Several times a week,177.0,84.0,Male,1967.0
