,idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
644,933403,8,Extremely happy,Very good,10.0,2-3 times a month,158.0,52.0,Female,1967
645,933429,8,9,Fair,,2-3 times a month,166.0,65.0,Female,1953
647,933461,8,8,Good,,Never,161.0,58.0,Female,1944
648,933487,5,8,Very good,,Several times a week,167.0,80.0,Female,1929
649,933518,5,7,Good,20.0,Once a month,169.0,80.0,Female,1985
650,933542,You can't be too careful,,,,,,,Female,1978
651,933607,3,9,Very good,,Never,174.0,72.0,Female,1958
652,933623,4,Extremely happy,Very good,,2-3 times a month,183.0,77.0,Female,1958
655,933673,1,Extremely happy,Very good,12.0,Once a week,162.0,48.0,Female,1922
656,933704,9,9,Very good,,Several times a week,167.0,62.0,Female,1959
658,933738,8,9,Very good,,Several times a week,165.0,66.0,Female,1963
660,933869,7,8,Fair,10.0,Once a month,176.0,65.0,Male,1990
661,933893,9,8,Very good,,Once a week,182.0,70.0,Male,1990
663,933916,8,8,Good,20.0,Every day,165.0,57.0,Male,1965
664,933924,Most people can be trusted,9,Very good,10.0,Less than once a month,174.0,80.0,Female,1974
665,933940,8,9,Very good,,2-3 times a month,185.0,75.0,Male,1945
668,934001,8,Extremely happy,Fair,,2-3 times a month,184.0,82.0,Male,1979
669,934035,8,9,Fair,,Every day,180.0,89.0,Male,1941
671,934077,3,8,Bad,,Less than once a month,173.0,72.0,Female,1962
673,934108,6,6,Fair,,Once a week,180.0,81.0,Male,1971
676,934190,7,8,Good,,Less than once a month,169.0,75.0,Female,1990
678,934255,8,7,Good,,Once a week,170.0,80.0,Male,1931
679,934263,8,9,Good,,Every day,181.0,96.0,Male,1967
685,934386,6,9,Very good,7.0,Every day,165.0,59.0,Female,1964
686,934433,8,8,Very good,4.0,Several times a week,170.0,76.0,Male,1953
688,934475,8,8,Very good,,Several times a week,178.0,84.0,Male,1985
698,934645,8,6,Fair,8.0,Once a month,169.0,65.0,Female,1948
699,934653,8,7,Very good,,Once a month,163.0,57.0,Female,1977
703,934726,4,Extremely happy,Very good,,Never,160.0,77.0,Female,1947
704,934750,5,9,Very good,,Less than once a month,170.0,69.0,Male,1942
705,934784,5,8,Very good,5.0,Every day,174.0,90.0,Male,1985
707,934831,7,Extremely happy,Good,,Several times a week,177.0,85.0,Male,1951
709,934873,8,7,Good,,Never,170.0,75.0,Male,1973
712,934912,5,8,Fair,0.0,2-3 times a month,180.0,88.0,Male,1963
714,934954,Most people can be trusted,7,Good,,Several times a week,170.0,68.0,Female,1965
715,934962,6,7,Good,,2-3 times a month,169.0,58.0,Female,1976
716,934970,8,9,Good,15.0,Several times a week,176.0,77.0,Female,1954
721,935099,8,8,Very good,,Every day,164.0,68.0,Female,1926
725,935170,3,Extremely happy,Bad,30.0,Never,189.0,87.0,Male,1976
728,935269,3,6,Fair,8.0,Every day,164.0,52.0,Female,1936
729,935285,8,Extremely happy,Very good,,Every day,180.0,70.0,Male,1923
731,935332,8,8,Very good,,Once a month,175.0,61.0,Female,1992
732,935340,7,9,Very good,,Once a week,193.0,72.0,Male,1997
733,935382,5,8,Very good,15.0,Never,160.0,63.0,Female,1955
735,935439,8,9,Fair,,Once a month,159.0,80.0,Female,1923
736,935463,4,9,Fair,,Less than once a month,165.0,,Female,1985
737,935489,9,6,Good,,Several times a week,173.0,70.0,Male,1988
738,935502,9,8,Very good,20.0,Several times a week,179.0,82.0,Male,1971
739,935536,7,9,Very good,,Once a month,182.0,92.0,Male,1976
740,935560,5,8,Very good,,Never,173.0,90.0,Female,1981
741,935586,4,4,Fair,10.0,2-3 times a month,175.0,63.0,Male,1961
742,935594,4,8,Very good,,2-3 times a month,187.0,79.0,Male,1997
744,935633,8,9,Very good,,Several times a week,163.0,63.0,Female,1962
745,935641,8,9,Very good,,Several times a week,186.0,88.0,Male,1958
748,935706,8,9,Very good,,Once a week,170.0,82.5,Male,1965
750,935764,5,8,Very good,,Less than once a month,156.0,54.0,Female,1980
