idno,height,weight,gndr,yrbrn
933005,167,75,Female,1956
933128,174,71,Male,1949
933144,190,72,Male,1993
933259,172,75,Male,1955
933275,171,72,Female,1938
933348,173,80,Male,1995
933372,178,88,Male,1971
933398,169,70,Male,1985
933403,158,,,1967
933429,166,65,Female,1953
933461,161,58,Female,1944
933487,167,80,Female,1929
933518,169,80,Female,1985
933542,,,Female,1978
933607,174,72,Female,1958
933623,183,77,Female,1958
933673,162,48,Female,1922
933704,167,62,Female,1959
933738,165,66,,1963
933869,176,65,Male,1990
933893,182,70,Male,1990
933916,,57,Male,1965
933924,174,80,Female,1974
933940,185,75,Male,
934001,184,82,Male,1979
934035,180,89,Male,1941
934077,173,72,Female,1962
934108,180,81,Male,1971
934190,169,75,Female,1990
934255,170,80,Male,1931
934263,181,96,Male,1967
